4.91,5.03,5.07,5.21,4.74,5.03,5.08,4.95,4.89,4.65
4.79,5.01,4.77,4.95,4.59,5.07,4.97,5.19,5.05,5.27
4.77,4.76,5.11,5.17,4.94,4.69,5.01,5.11,4.75,5.05
5.01,4.93,5.01,5.08,4.69,4.89,5.23,4.99,5.14,4.95
4.91,4.81,4.99,4.89,4.79,4.74,5.09,5.07,5.25,5.28
4.87,4.88,4.87,4.75,4.99,4.59,5.07,4.99,4.99,5.07
4.94,5.29,4.97,4.99,4.95,4.65,4.77,4.83,4.95,5.05
5.02,4.97,5.07,4.89,4.77,4.88,5.08,4.78,5.23,5.18
4.66,4.95,5.19,4.84,4.93,4.98,5.08,4.85,5.04,4.89
4.79,5.09,4.98,4.94,5.17,4.88,4.96,4.92,4.79,5.1
